"Event ID";Firm;"Reference Market";"Event Date";"Analysis Report";"Estimation Window Length";"End of Estimation Window";"First Date Estimation Window";"Last Date Estimation Window";"Actual Stock Return";"Actual Market Return";Alpha;Beta;"Residual Standard Deviation";"Expected Market Return";"First-order Autocorellation"
135;AXON;GSPC;2018-11-06;"Analysis performed successfully";120;-14;2018-04-30;2018-10-17;-0.006;0.0062;0.0022;2.5156;0.0302;0.0179;-0.0567
136;AXON;GSPC;2018-10-09;"Analysis performed successfully";120;-14;2018-04-02;2018-09-19;-0.009;-0.0014;0.0031;1.7262;0.0304;0.0007;-0.0751
137;AXON;GSPC;2018-09-19;"Analysis performed successfully";120;-14;2018-03-12;2018-08-29;-0.0251;0.0013;0.0038;1.3811;0.0296;0.0056;-0.0667
138;AXON;GSPC;2018-08-22;"Analysis performed successfully";120;-14;2018-02-12;2018-08-02;0.0084;-0.0004;0.0079;0.8223;0.0367;0.0076;0.0567
139;AXON;GSPC;2018-08-07;"Analysis performed successfully";120;-14;2018-01-26;2018-07-18;0.0113;0.0028;0.008;0.728;0.0364;0.0101;0.0434
140;AXON;GSPC;2018-06-21;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2017-12-08;2018-06-01;-0.0207;-0.0064;0.008;0.5922;0.0347;0.0043;0.0874
141;AXON;GSPC;2018-05-24;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2017-11-10;2018-05-04;0.0374;-0.002;0.0059;0.464;0.0292;0.005;0.1647
142;AXON;GSPC;2018-05-18;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2017-11-06;2018-04-30;0.0144;-0.0026;0.0048;0.4005;0.0293;0.0037;0.1905
143;AXON;GSPC;2018-05-08;"Analysis performed successfully";120;-14;2017-10-25;2018-04-18;-0.0063;-0.0003;0.0052;0.4301;0.0292;0.0051;0.1906
144;AXON;GSPC;2018-04-06;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2017-09-25;2018-03-16;-0.0241;-0.0222;0.0042;0.166;0.0293;0.0005;0.2165
145;AXON;GSPC;2018-02-27;"Analysis performed successfully";120;-14;2017-08-16;2018-02-06;-0.0328;-0.0128;0.0008;0.6044;0.0159;-0.0069;0.1637
146;AXON;GSPC;2018-02-27;"Analysis performed successfully";120;-14;2017-08-16;2018-02-06;-0.0328;-0.0128;0.0008;0.6044;0.0159;-0.0069;0.1637
147;AXON;GSPC;2019-11-07;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2019-05-01;2019-10-18;0.0032;0.0027;-0.002;1.2623;0.0245;0.0014;-0.0667
148;AXON;GSPC;2019-10-29;"Analysis performed successfully";120;-14;2019-04-22;2019-10-09;-0.0329;-0.0008;-0.0012;1.2772;0.0245;-0.0022;-0.0656
149;AXON;GSPC;2019-10-15;"Analysis performed successfully";120;-14;2019-04-05;2019-09-25;0.0092;0.0099;0.0004;1.3021;0.025;0.0133;-0.0836
150;AXON;GSPC;2019-08-28;"Analysis performed successfully";120;-14;2019-02-19;2019-08-08;-0.0172;0.0065;0.0011;1.4097;0.0226;0.0103;0.0218
151;AXON;GSPC;2019-08-08;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2019-01-29;2019-07-19;0.0429;0.0186;0.0011;1.3765;0.0226;0.0267;-0.0024
152;AXON;GSPC;2019-06-14;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2018-11-30;2019-05-24;-0.0062;-0.0016;0.0031;1.3567;0.0216;0.001;-0.1275
153;AXON;GSPC;2019-06-04;"Analysis performed successfully";120;-14;2018-11-19;2019-05-14;0.0025;0.0212;0.002;1.2821;0.0224;0.0292;-0.0286
154;AXON;GSPC;2019-05-09;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2018-10-25;2019-04-18;-0.004;-0.003;-0.0005;1.1386;0.0286;-0.004;0.0122
155;AXON;GSPC;2019-02-26;"Analysis performed successfully";120;-14;2018-08-14;2019-02-05;0.0367;-0.0008;-0.0009;1.2152;0.0282;-0.0019;-0.0278
156;AXON;GSPC;2019-02-19;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2018-08-07;2019-01-29;0.0068;0.0015;-0.0018;1.1824;0.0304;-0.0001;-0.026
157;AXON;GSPC;2019-01-07;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2018-06-26;2018-12-14;0.0455;0.007;-0.0023;1.1498;0.0302;0.0057;-0.0004
158;AXON;GSPC;2020-11-05;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2020-04-29;2020-10-16;0.0323;0.0193;0.0012;1.1788;0.0363;0.0239;0.0988
159;AXON;GSPC;2020-09-11;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2020-03-04;2020-08-21;-0.0045;0.0005;-0.0007;1.1203;0.042;-0.0001;0.051
160;AXON;GSPC;2020-08-06;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2020-01-28;2020-07-17;-0.0105;0.0064;0.0013;1.1339;0.0406;0.0086;0.0406
161;AXON;GSPC;2020-06-18;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2019-12-06;2020-05-29;-0.0326;0.0006;0.0006;1.1133;0.0347;0.0012;0.0426
162;AXON;GSPC;2020-06-12;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2019-12-02;2020-05-22;0.0443;0.013;0.0006;1.1101;0.0345;0.015;0.049
163;AXON;GSPC;2020-06-03;"Analysis performed successfully";120;-14;2019-11-20;2020-05-13;-0.0706;0.0136;0.0023;1.1314;0.0341;0.0176;0.0231
164;AXON;GSPC;2020-05-07;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2019-10-25;2020-04-17;0.0609;0.0114;0.0032;1.0933;0.0345;0.0157;-0.0344
165;AXON;GSPC;2020-02-27;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2019-08-16;2020-02-06;-0.0417;-0.0452;0.0012;1.4307;0.0281;-0.0634;-0.0389
166;AXON;GSPC;2020-01-16;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2019-07-09;2019-12-26;0.0341;0.0083;0.0003;1.4344;0.03;0.0122;-0.0517
167;AXON;GSPC;2020-01-03;"Analysis performed with warnings: The event window seems to include an unexpected number of days the firm's stock has not been traded on";120;-14;2019-06-25;2019-12-12;-0.035;-0.0071;-0.0011;1.4719;0.0306;-0.0115;-0.0362
